target_conference,player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,position,height_in,weight_lbs,source_conf_power,source_conf_power_method,destination_conf_power,destination_conf_power_method,conf_power_delta,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_ts_pct,source_three_rate,source_ft_rate,source_per,source_usg_pct,source_ws,source_bpm,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_spg,big_west_bpg,big_west_topg,big_west_ts_pct,big_west_per,big_west_usg_pct,big_west_ws,big_west_ws_per_40,big_west_bpm,big_west_porpag,production_score,impact_score,outcome_tier,source_url,outcome_url,target_evanmiya_match_method,target_evanmiya_player_name,target_evanmiya_team,target_evanmiya_rank,target_evanmiya_obpr,target_evanmiya_dbpr,target_evanmiya_bpr,target_evanmiya_poss,target_evanmiya_box_obpr,target_evanmiya_box_dbpr,target_evanmiya_box_bpr,target_evanmiya_adj_team_off_eff,target_evanmiya_adj_team_def_eff,target_evanmiya_adj_team_eff_margin,target_evanmiya_plus_minus,big_west_bpr,big_west_obpr,big_west_dbpr,big_west_bpr_poss
Big West,E.J. Anosike,ej-anosike,Tennessee,tennessee,SEC,D1,Cal State Fullerton,cal-state-fullerton,2021-22,2020-21,target_conference_common_box,F,79.0,236.0,40.37,exact,28.77,exact,-11.599999999999998,22,8.5,0.2125,1.7,1.9,0.3,0.4,0.0,0.2,0.342,0.0,0.6,0.342,,,,,,,,8.0,8.941176470588236,1.411764705882353,1.8823529411764703,0.0,0.9411764705882352,32,32,32.7,1046.4,0.8175000000000001,16.3,8.3,1.8,0.8,0.3,1.9,0.58972503617945,24.8,25.3,5.3,0.201,3.3,,23.19,94.61191335740072,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,exact_name_team,E.J. Anosike,Cal State Fullerton,502.0,2.57,0.67,3.23,1662.0,3.01,-0.13,2.88,103.9,96.1,7.8,105.0,3.23,2.57,0.67,1662.0
Big West,Hamad Mousa,hamad-mousa,Dayton,dayton,Atlantic 10,D1,Cal Poly,cal-poly,2025-26,2024-25,target_conference_common_box,G,80.0,190.0,34.66,exact,29.37,exact,-5.289999999999996,20,7.6,0.19,1.3,0.5,0.4,0.2,0.0,0.6,0.304,0.077,0.688,0.326,,,,,,,,6.842105263157895,2.6315789473684212,2.1052631578947367,1.0526315789473684,0.0,3.1578947368421053,32,30,31.3,1001.6,0.7825,20.4,6.3,2.0,1.0,0.4,2.5,0.6175829498667958,21.5,28.0,3.9,0.154,3.7,,25.94,92.85198555956678,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,exact_name_team,Hamad Mousa,Cal Poly,936.0,2.68,-0.6,2.08,1798.0,3.31,-0.04,3.26,107.5,112.4,-4.9,-36.0,2.08,2.68,-0.6,1798.0
Big West,Dominic Brewton,dominic-brewton,Alcorn State,alcorn-state,SWAC,D1,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,target_conference_common_box,G,75.0,185.0,21.82,exact,29.59,exact,7.77,27,25.7,0.6425,12.0,3.7,1.7,1.1,0.0,1.9,0.403,0.254,0.816,0.433,,,,,,,,18.67704280155642,5.7587548638132295,2.6459143968871595,1.7120622568093389,0.0,2.9571984435797667,31,28,33.1,1026.1,0.8275,17.0,4.8,2.4,1.5,0.2,2.1,0.5185456320156174,19.8,29.7,3.1,0.12,2.0,,22.18,89.54873646209386,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,exact_name_team,Dominic Brewton,Cal State Fullerton,1484.0,-0.05,0.58,0.53,1658.0,0.3,0.65,0.95,97.4,99.2,-1.8,-94.0,0.53,-0.05,0.58,1658.0
Big West,"Larry Hughes, Jr.",larry-hughes-jr,Saint Louis,saint-louis,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2025-26,2024-25,target_conference_common_box,G,76.0,175.0,34.66,exact,29.37,exact,-5.289999999999996,7,15.1,0.3775,4.7,2.1,0.7,0.1,0.3,0.4,0.4,0.346,0.0,0.55,,,,,,,,12.450331125827814,5.562913907284768,1.8543046357615895,0.2649006622516556,0.794701986754967,1.0596026490066226,33,33,31.5,1039.5,0.7875,17.7,2.9,0.9,1.5,0.2,1.4,0.5811662726556344,16.2,23.9,3.5,0.135,2.2,,20.85,89.51263537906136,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,suffix_insensitive_name_team,Larry Hughes II,Cal State Northridge,1127.0,1.73,-0.2,1.53,1882.0,2.35,-0.15,2.21,105.7,108.2,-2.5,22.0,1.53,1.73,-0.2,1882.0
Big West,Stephan Swenson,stephan-swenson,Stetson,stetson,ASUN,D1,UC Santa Barbara,uc-santa-barbara,2024-25,2023-24,target_conference_common_box,G,74.0,195.0,27.08,exact,30.41,exact,3.330000000000002,35,33.3,0.8324999999999999,13.9,4.7,5.8,1.5,0.1,2.7,0.41,0.324,0.819,0.466,,,,,,,,16.696696696696698,5.645645645645646,6.966966966966967,1.801801801801802,0.1201201201201201,3.243243243243243,33,33,29.8,983.4,0.745,13.4,3.7,4.4,1.8,0.2,2.2,0.5969351389878831,19.9,23.7,4.1,0.168,5.1,,19.37,89.95487364620938,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,exact_name_team,Stephan Swenson,UC Santa Barbara,230.0,3.3,1.7,5.0,1610.0,3.82,1.11,4.93,108.5,100.0,8.5,127.0,5.0,3.3,1.7,1610.0
Big West,Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,Hawaii–Hilo,hawaii-hilo,PacWest,D2,UC San Diego,uc-san-diego,2023-24,2022-23,target_conference_common_box,W,78.0,205.0,13.16,exact,29.59,exact,16.43,23,32.73913043478261,0.8184782608695652,17.608695652173914,9.173913043478262,3.4782608695652173,1.173913043478261,0.391304347826087,3.347826086956522,0.466,0.259,0.701,0.4773462783171521,,,,,,,,21.51394422310757,11.208499335989378,4.249667994687915,1.4342629482071714,0.4780876494023904,4.090305444887118,33,33,29.6,976.8,0.74,13.8,5.8,2.9,1.1,0.3,2.2,0.631868131868132,22.7,23.5,4.5,0.186,3.3,,19.77,88.72743682310468,Target-conference impact starter,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html,exact_name_team,Aniwaniwa Tait-Jones,UC San Diego,714.0,2.49,0.06,2.55,1590.0,2.93,0.41,3.34,112.1,103.1,9.0,133.0,2.55,2.49,0.06,1590.0
Big West,Joel Murray,joel-murray,West Texas A&M,west-texas-a-m,LSC,D2,Long Beach State,long-beach-state,2021-22,2020-21,target_conference_common_box,G,72.0,170.0,13.24,exact,28.77,exact,15.53,22,35.45454545454545,0.8863636363636364,23.318181818181817,6.181818181818182,4.181818181818182,1.8636363636363635,0.0909090909090909,2.4545454545454546,0.47,0.3,0.807,0.509090909090909,,,,,,,,26.307692307692307,6.9743589743589745,4.717948717948717,2.102564102564102,0.1025641025641025,2.7692307692307696,33,30,32.1,1059.3,0.8025,16.7,3.0,2.8,1.5,0.1,2.5,0.5509369226708893,19.2,27.4,3.5,0.131,1.3,,20.63,87.66245487364621,Target-conference impact starter,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,https://www.sports-reference.com/cbb/players/joel-murray-1.html,exact_name_team,Joel Murray,Long Beach State,1086.0,1.38,0.12,1.5,1814.0,1.39,0.09,1.48,103.2,97.9,5.4,23.0,1.5,1.38,0.12,1814.0
Big West,"Marcus Adams, Jr.",marcus-adams-jr,Brigham Young,brigham-young,Big XII,D1,Cal State Northridge,cal-state-northridge,2024-25,2023-24,target_conference_common_box,F,80.0,195.0,44.56,exact,30.41,exact,-14.150000000000002,1,8.0,0.2,2.0,2.0,1.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,,,,,,,,10.0,10.0,5.0,0.0,0.0,0.0,32,20,28.9,924.8,0.7224999999999999,16.1,4.9,1.5,1.0,0.3,1.6,0.6277292576419214,21.0,23.5,4.1,0.179,4.3,,20.69,88.971119133574,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,exact_name_team,Marcus Adams Jr.,Cal State Northridge,355.0,3.16,0.94,4.1,1599.0,3.37,-0.39,2.98,112.7,95.5,17.2,269.0,4.1,3.16,0.94,1599.0
Big West,Max Jones,max-jones,Tampa,tampa,SSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,target_conference_common_box,G,77.0,205.0,16.99,exact,29.79,exact,12.8,21,33.04761904761905,0.8261904761904763,21.904761904761905,4.476190476190476,2.7142857142857144,1.1904761904761905,0.3809523809523809,2.2857142857142856,0.445,0.325,0.853,0.5014836795252225,,,,,,,,26.51296829971181,5.4178674351585006,3.2853025936599423,1.440922190201729,0.4610951008645532,2.766570605187319,32,32,31.9,1020.8,0.7975,12.5,4.0,2.2,0.9,0.3,2.1,0.5657132512671976,16.8,22.3,3.7,0.144,2.8,,16.63,88.20397111913357,Target-conference impact starter,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,exact_name_team,Max Jones,Cal State Fullerton,926.0,1.54,0.26,1.8,1644.0,1.68,0.0,1.68,103.3,96.9,6.4,43.0,1.8,1.54,0.26,1644.0
Big West,Devin Askew,devin-askew,California,california,PAC 12,D1,Long Beach State,long-beach-state,2024-25,2023-24,target_conference_common_box,G,77.0,195.0,41.26,exact,30.41,exact,-10.849999999999998,6,24.3,0.6075,6.2,4.2,2.5,0.7,0.0,1.8,0.313,0.143,0.789,0.344,,,,,,,,10.205761316872428,6.91358024691358,4.11522633744856,1.1522633744855966,0.0,2.962962962962963,32,32,36.0,1152.0,0.9,18.9,4.6,4.5,1.5,0.1,3.7,0.5434782608695652,18.2,31.2,2.8,0.096,0.6,,24.539999999999996,87.08483754512635,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/california/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,exact_name_team,Devin Askew,Long Beach State,1511.0,0.9,-0.33,0.58,1813.0,1.06,0.77,1.83,100.2,110.2,-10.0,-264.0,0.58,0.9,-0.33,1813.0
