player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,pathway_type,source_url,reason
Anthony Moore,anthony-moore3,Cal Poly,cal-poly,2026-27,d1_big_west,,season_not_started
Bryce Cofield,bryce-cofield,Cal State Bakersfield,cal-state-bakersfield,2026-27,d1_big_west,,season_not_started
Cameron Barnes,cameron-barnes,Cal State Bakersfield,cal-state-bakersfield,2026-27,d1_big_west,,season_not_started
Chudi Dioramma,chudi-dioramma,Cal State Bakersfield,cal-state-bakersfield,2026-27,d1_big_west,,season_not_started
E.J. Bryson,ej-bryson,Cal State Bakersfield,cal-state-bakersfield,2026-27,d2_big_west,,season_not_started
"Kjay Bradley, Jr.",kevin-bradley-jr,Cal State Bakersfield,cal-state-bakersfield,2026-27,d1_big_west,,season_not_started
Sean Pouedet,sean-pouedet,Cal State Bakersfield,cal-state-bakersfield,2026-27,d1_big_west,,season_not_started
Zach Lee,zach-lee2,Cal State Bakersfield,cal-state-bakersfield,2026-27,naia_big_west,,season_not_started
Andrew McConnell,andrew-mcconnell,Cal State Fullerton,cal-state-fullerton,2026-27,naia_big_west,,season_not_started
Malcolm Bell,malcolm-bell,Cal State Fullerton,cal-state-fullerton,2026-27,d2_big_west,,season_not_started
Marley Zeller,marley-zeller,Cal State Fullerton,cal-state-fullerton,2026-27,d1_big_west,,season_not_started
Matthew Willenborg,matthew-willenborg,Cal State Fullerton,cal-state-fullerton,2026-27,d2_big_west,,season_not_started
Rockwell Reynolds,rockwell-reynolds,Cal State Fullerton,cal-state-fullerton,2026-27,juco_big_west,,season_not_started
Tiernan Stynes,tiernan-stynes,Cal State Fullerton,cal-state-fullerton,2026-27,d2_big_west,,season_not_started
B.J. Omot,bj-omot,Cal State Northridge,cal-state-northridge,2026-27,d1_big_west,,season_not_started
Brooklyn Hicks,brooklyn-hicks,Cal State Northridge,cal-state-northridge,2026-27,d1_big_west,,season_not_started
Caleb Smith,caleb-smith,Cal State Northridge,cal-state-northridge,2026-27,d1_big_west,,season_not_started
Daniel Culberson,daniel-culberson,Cal State Northridge,cal-state-northridge,2026-27,juco_big_west,,season_not_started
Jael Martin,jael-martin,Cal State Northridge,cal-state-northridge,2026-27,d1_big_west,,season_not_started
Kéziah Ekissi,kziah-ekissi,Cal State Northridge,cal-state-northridge,2026-27,d1_big_west,,season_not_started
Mikah Ballew,mikah-ballew,Cal State Northridge,cal-state-northridge,2026-27,d1_big_west,,season_not_started
Bol Dengdit,bol-dengdit,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Chance Trujillo,chance-trujillo,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Houran Dan,houran-dan,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Jaden Matingou,jaden-matingou,Hawaii,hawaii,2026-27,d2_big_west,,season_not_started
Kellen Hampton,kellen-hampton,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Manie Joses,mansie-joses,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
"Marcus Adams, Jr.",marcus-adams-jr,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Tiger Cuff,tiger-cuff,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Zack Davidson,zack-davidson,Hawaii,hawaii,2026-27,d1_big_west,,season_not_started
Blake Bahr,blake-bahr,Long Beach State,long-beach-state,2026-27,juco_big_west,,season_not_started
Brett Wright,brett-wright,Long Beach State,long-beach-state,2026-27,d2_big_west,,season_not_started
Colin Ruffin,colin-ruffin,Long Beach State,long-beach-state,2026-27,d2_big_west,,season_not_started
Grgur Brčić,grgur-bri,Long Beach State,long-beach-state,2026-27,d1_big_west,,season_not_started
Henry Lau,henry-cody-lau,Long Beach State,long-beach-state,2026-27,d1_big_west,,season_not_started
Jack Payne,jack-payne,Long Beach State,long-beach-state,2026-27,d1_big_west,,season_not_started
Jaden Tengan,jaden-tengan,Long Beach State,long-beach-state,2026-27,d2_big_west,,season_not_started
Kaleb Smith,kaleb-smith,Long Beach State,long-beach-state,2026-27,d1_big_west,,season_not_started
McCaden Adams,mccaden-adams,Long Beach State,long-beach-state,2026-27,juco_big_west,,season_not_started
Noah Amenhauser,noah-amenhauser,Long Beach State,long-beach-state,2026-27,d1_big_west,,season_not_started
Yohann Sissoko,yohann-sissoko,Long Beach State,long-beach-state,2026-27,d1_big_west,,season_not_started
Clarence Massamba,clarence-massamba,UC Davis,uc-davis,2026-27,d1_big_west,,season_not_started
Veniamin Abosi,veniamin-abosi,UC Davis,uc-davis,2026-27,d1_big_west,,season_not_started
Nils Cooper,nils-cooper,UC Irvine,uc-irvine,2026-27,d1_big_west,,season_not_started
Olivier Rioux,olivier-rioux,UC Irvine,uc-irvine,2026-27,d1_big_west,,season_not_started
Abraham Oyeadier,abraham-oyeadier,UC Riverside,uc-riverside,2026-27,d1_big_west,,season_not_started
Aidan Rice,aidan-rice,UC Riverside,uc-riverside,2026-27,d2_big_west,,season_not_started
Dallas Washington,dallas-washington,UC Riverside,uc-riverside,2026-27,d1_big_west,,season_not_started
Devon Malcolm,devon-malcolm,UC Riverside,uc-riverside,2026-27,d1_big_west,,season_not_started
Easton Reagan,easton-reagan,UC Riverside,uc-riverside,2026-27,d2_big_west,,season_not_started
"James Evans, Jr.",james-evans,UC Riverside,uc-riverside,2026-27,d1_big_west,,season_not_started
Tony Duckett,tony-duckett,UC Riverside,uc-riverside,2026-27,d1_big_west,,season_not_started
Tyus Parrish-Tillman,tyus-parrish-tillman,UC Riverside,uc-riverside,2026-27,d2_big_west,,season_not_started
Jordan Johnson,jordan-johnson8,UC San Diego,uc-san-diego,2026-27,juco_big_west,,season_not_started
Kayde Dotson,kayde-dotson,UC San Diego,uc-san-diego,2026-27,d1_big_west,,season_not_started
Olavi Suutela,olavi-suutela,UC San Diego,uc-san-diego,2026-27,d1_big_west,,season_not_started
Rahmir Barno,rahmir-barno,UC San Diego,uc-san-diego,2026-27,d1_big_west,,season_not_started
Antonio Chol,antonio-chol,UC Santa Barbara,uc-santa-barbara,2026-27,d1_big_west,,season_not_started
"Declan Duru, Jr.",declan-duru,UC Santa Barbara,uc-santa-barbara,2026-27,d1_big_west,,season_not_started
Eric Dibami,eric-dibami,UC Santa Barbara,uc-santa-barbara,2026-27,d1_big_west,,season_not_started
R.J. Smith,rj-smith2,UC Santa Barbara,uc-santa-barbara,2026-27,d1_big_west,,season_not_started
Viljami Vartiainen,viljami-vartiainen,UC Santa Barbara,uc-santa-barbara,2026-27,d1_big_west,,season_not_started
Logan McLaughlin,logan-mclaughlin,Cal Poly,cal-poly,2022-23,d1_big_west,https://gopoly.com/sports/mens-basketball/stats/2022-23,Could not find player row
Tom Mark,tom-mark,Cal State Bakersfield,cal-state-bakersfield,2022-23,juco_big_west,https://gorunners.com/sports/mens-basketball/stats/2022-23,Could not find player row
C.J. Hardy,cj-hardy,Cal State Bakersfield,cal-state-bakersfield,2023-24,juco_big_west,https://gorunners.com/sports/mens-basketball/stats/2023-24,Could not find player row
Cameron Clark,cam-clark,Cal State Bakersfield,cal-state-bakersfield,2023-24,juco_big_west,https://gorunners.com/sports/mens-basketball/stats/2023-24,Could not find player row
Dylan Purnell,dylan-purnell,Cal State Bakersfield,cal-state-bakersfield,2024-25,juco_big_west,https://gorunners.com/sports/mens-basketball/stats/2024-25,Could not find player row
Keith Richard,keith-richard,Cal State Fullerton,cal-state-fullerton,2022-23,juco_big_west,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,Could not find player row
Zachary Visentin,zachary-visentin,Cal State Fullerton,cal-state-fullerton,2022-23,juco_big_west,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,Could not find player row
LoLo Rudolph,lolo-rudolph,Cal State Fullerton,cal-state-fullerton,2023-24,juco_big_west,https://fullertontitans.com/sports/mens-basketball/stats/2023-24,Could not find player row
Yesan Warren,yesan-warren,Cal State Fullerton,cal-state-fullerton,2024-25,juco_big_west,https://fullertontitans.com/sports/mens-basketball/stats/2024-25,Could not find player row
B.J. Comer,bj-comer,Cal State Northridge,cal-state-northridge,2023-24,juco_big_west,https://gomatadors.com/sports/mens-basketball/stats/2023-24,"Found name text but not parseable stat row: Comer, BJ"
Jalen Barbee,jalen-barbee,Cal State Northridge,cal-state-northridge,2023-24,juco_big_west,https://gomatadors.com/sports/mens-basketball/stats/2023-24,Could not find player row
Noah Williams,noah-williams2,Cal State Northridge,cal-state-northridge,2023-24,juco_big_west,https://gomatadors.com/sports/mens-basketball/stats/2023-24,Could not find player row
P.J. Fuller II,pj-fuller,Cal State Northridge,cal-state-northridge,2023-24,d1_big_west,https://gomatadors.com/sports/mens-basketball/stats/2023-24,Could not find player row
Quincy McGriff,quincy-mcgriff,Cal State Northridge,cal-state-northridge,2023-24,d1_big_west,https://gomatadors.com/sports/mens-basketball/stats/2023-24,Could not find player row
Naceiar Kirksey,naceiar-kirksey,Cal State Northridge,cal-state-northridge,2025-26,juco_big_west,https://gomatadors.com/sports/mens-basketball/stats/2025-26,Could not find player row
Quinton Webb,quinton-webb,Cal State Northridge,cal-state-northridge,2025-26,d1_big_west,https://gomatadors.com/sports/mens-basketball/stats/2025-26,"Found name text but not parseable stat row: Webb , Quinton"
Juan Munoz,juan-munoz,Hawaii,hawaii,2021-22,d1_big_west,https://hawaiiathletics.com/sports/mens-basketball/stats/2021-22,Could not find player row
Tanner Cuff,tanner-cuff,Hawaii,hawaii,2025-26,d1_big_west,https://hawaiiathletics.com/sports/mens-basketball/stats/2025-26,Could not find player row
Austin Johnson,austin-johnson2,Long Beach State,long-beach-state,2023-24,d1_big_west,https://longbeachstate.com/sports/mens-basketball/stats/2023-24,Could not find player row
Grant Gondrezick II,grant-gondrezick,Long Beach State,long-beach-state,2025-26,d1_big_west,https://longbeachstate.com/sports/mens-basketball/stats/2025-26,Could not find player row
Pablo Tamba,pablo-tamba,UC Davis,uc-davis,2022-23,d1_big_west,https://ucdavisaggies.com/sports/mens-basketball/stats/2022-23,Could not find player row
Marsalis Roberson,marsalis-roberson,UC Davis,uc-davis,2023-24,d1_big_west,https://ucdavisaggies.com/sports/mens-basketball/stats/2023-24,Could not find player row
Ylan Esso-Essis,ylan-esso-essis,UC Davis,uc-davis,2025-26,juco_big_west,https://ucdavisaggies.com/sports/mens-basketball/stats/2025-26,Could not find player row
Devin Tillis,devin-tillis,UC Irvine,uc-irvine,2021-22,d1_big_west,https://ucirvinesports.com/sports/mens-basketball/stats/2021-22,"Found name text but not parseable stat row: Tillis, Devin"
Isaiah Moses,isaiah-moses,UC Riverside,uc-riverside,2022-23,d2_big_west,https://gohighlanders.com/sports/mens-basketball/stats/2022-23,Could not find player row
Gavin Davis,gavin-davis,UC Riverside,uc-riverside,2023-24,juco_big_west,https://gohighlanders.com/sports/mens-basketball/stats/2023-24,"Found name text but not parseable stat row: Davis, Gavin"
Tyson Dunn,tyson-dunn,UC San Diego,uc-san-diego,2025-26,d1_big_west,https://ucsdtritons.com/sports/mens-basketball/stats/2025-26,Could not find player row
Mezziah Oakman,mezziah-oakman,UC Santa Barbara,uc-santa-barbara,2022-23,juco_big_west,https://ucsbgauchos.com/sports/mens-basketball/stats/2022-23,Could not find player row
Kieves Turner,kieves-turner,UC Santa Barbara,uc-santa-barbara,2024-25,d1_big_west,https://ucsbgauchos.com/sports/mens-basketball/stats/2024-25,Could not find player row
